                      http://tx4.us/nbs-iscc.htm
                        NBS/ISCC Color System

Copyright � 2003 Voluntocracy.  Permission is granted to copy and
distribute modified or unmodified versions of this color dictionary
provided the copyright notice and this permission notice are preserved
on all copies and the entire such work is distributed under the terms
of a permission notice identical to this one.

"Pink" and "brown" are used instead of the more logical "pale red" and
"dark orange".

http://www.anthus.com/Colors/Cent.html by David A. Mundie, converted
the NBS Centroid colors from Munsell to CIE XYZ, then converted to Mac
QuickDraw RGB.  The colors were visibly biased towards pink and had
duplications.

John Foster reconverted supplied Munsell values via Munsell software
downloaded from www.gretagmacbeth.com <http://www.gretagmacbeth.com>
directly to RGB, and tried to resolve some duplicates.  Some of these
don't even look right, because some of the bright colors are on the
dark fringes with less chroma and are not centered and high up on the
hue curves.  Many of the original Munsell values (noted) are outside
the RGB gamut, and have been adjusted to the closest brightest RGB
value by changing chroma until 0 or 255 is reached in one out of
bounds RGB component.  Guesses were made in a few cases (noted) where
the color was still illogical compared to the name.

l,a,b,name
80.65902493370038,27.5283508559917,8.246815458774304,Vivid Pink
69.93948659163692,33.511712009208935,10.728559657866143,Strong Pink
61.40633614234024,45.41408760766002,16.168667735426844,Deep Pink
85.80213450968168,15.55106042573884,6.988491062725788,Light Pink
72.97263262739088,20.877776446811215,8.774653792039944,Moderate Pink
60.09774906620811,24.900535851524964,9.63627270161307,Dark Pink
87.73289648034935,6.017976188346541,2.7338097496864666,Pale Pink
72.9089628195433,7.7433080601208015,3.4156532302623166,Grayish Pink
90.71930242763365,2.0171127140454215,1.8199484089284734,Pinkish White
74.8555373612994,3.363020354696822,2.923812213545207,Pinkish Gray
39.883657134457565,65.24688435440854,29.719281711640743,Vivid Red
45.28148584936793,50.80439225199618,21.641059428948004,Strong Red
29.108630266956013,44.57940236196628,16.899046543218887,Deep Red
18.332901237784903,37.02244633599314,7.9031926304754085,Very Deep Red
45.245824497821886,38.488429348228216,16.232281680702833,Moderate Red
29.126169403685118,30.35996486610937,9.724936512165216,Dark Red
14.529581563614862,21.70669081236057,-1.955703541056153,Very Dark Red
60.032802882880745,13.469271370755266,7.541591470709541,Light Grayish Red
45.010902062203435,20.884650972198273,8.652963906820743,Grayish Red
28.33101210234898,10.430925062461766,2.721828075497179,Dark Grayish Red
13.043087724369908,9.083547239535527,0.6377811259072941,Blackish Red
55.14732109234956,4.944851024178687,3.0163227855384056,Reddish Gray
35.157452153021175,4.772428834534215,2.415950090992691,Dark Reddish Gray
13.22819752536191,4.26832661274279,0.08287574530687625,Reddish Black
80.65400015869093,23.828143156748915,19.534590489987536,Vivid Yellowish Pink
71.14077040519722,35.819765598594344,30.31248577210399,Strong Yellowish Pink
58.638050600952596,45.85508124391491,59.0715452908881,Deep Yellowish Pink
82.76125539927901,17.821181775379724,6.819346747000243,Light Yellowish Pink
72.81999424218536,19.19615591815993,5.738072498455216,Moderate Yellowish Pink
61.09038628765806,23.806470981339146,15.66010055474727,Dark Yellowish Pink
86.72844565917391,5.409487186474882,10.807685395853795,Pale Yellowish Pink
72.67727596278614,7.776831330265466,8.600645280461293,Grayish Yellowish Pink
71.74154832852827,4.895247025000494,12.688994230120777,Brownish Pink
55.34798705909205,51.346179622855594,55.68755107852837,Vivid Reddish Orange
55.52019668383976,45.229250467702705,43.60624696140435,Strong Reddish Orange
40.36234665381144,45.39812105109878,40.46676447218469,Deep Reddish Orange
56.318579380585774,34.60603068493884,32.11812044888222,Moderate Reddish Orange
41.22874171063678,34.655439859292954,29.815567072455696,Dark Reddish Orange
55.07689825128887,22.68022474743625,22.571249831766217,Grayish Reddish Orange
32.200885440737345,37.714163025858284,34.08761935088799,Strong Reddish Brown
16.29337164246195,34.4398456196329,20.159387511049033,Deep Reddish Brown
55.933034896958446,15.004523129471147,14.888441227386018,Light Reddish Brown
35.03510585103682,21.765106740051888,15.361916984455416,Moderate Reddish Brown
15.470719312174339,16.163237700792866,6.601743691448375,Dark Reddish Brown
55.06891245011656,7.2485861442545545,9.955390465789549,Light Grayish Reddish Brown
35.018936859314074,10.618987680105024,7.421923589544144,Grayish Reddish Brown
21.961161816451785,8.310971446952614,4.66412249599818,Dark Grayish Reddish Brown
66.18439880524734,36.08219294329768,72.63568656501297,Vivid Orange
71.16430472343826,33.22888680147179,59.59276696220414,Brilliant Orange
66.15684232756522,32.85995904281158,61.45821545870302,Strong Orange
52.19211683646165,30.793594061668983,55.15914735728451,Deep Orange
78.98843411157986,18.963784661920947,37.31697976510229,Light Orange
66.06379325814581,22.068130836724322,40.691407595660365,Moderate Orange
51.14001078787946,23.183132459979383,38.567818372862696,Brownish Orange
36.08018804059936,21.30867020077587,35.41255694150258,Strong Brown
25.449296887298708,14.493521785799047,23.397774049814007,Deep Brown
55.103051065821475,12.585282976264434,24.010769544603306,Light Brown
36.185344267814166,10.8689309728644,19.099368990362954,Moderate Brown
18.132607912107396,12.169516821005672,14.418403263452301,Dark Brown
55.07081773527514,5.41018490210371,11.662307834889507,Light Grayish Brown
35.97043235198452,5.772748135815464,8.692920249703729,Grayish Brown
21.898501374968333,4.27711317936319,5.84444747757299,Dark Grayish Brown
55.17206742907544,2.9330147943409934,6.514547106352109,Light Brownish Gray
35.055495321624406,4.351197070071505,2.255649819956085,Brownish Gray
13.034216092948725,3.027665567402998,4.153717795159145,Brownish Black
74.10672099013458,19.61865650261241,77.89105561019696,Vivid Orange Yellow
81.82142668323411,11.345336095999858,63.738663131674,Brilliant Orange Yellow
71.8574761404089,17.056025293685995,70.07229611298715,Strong Orange Yellow
60.954021101814675,17.858858423832224,66.61190430752714,Deep Orange Yellow
83.8712747266262,8.911571832110498,43.521734915510834,Light Orange Yellow
72.9102409751746,13.283662774161764,49.52280133546709,Moderate Orange Yellow
61.18855047472273,12.084556170940397,47.74396186196507,Dark Orange Yellow
87.55136707050663,5.75665150872906,28.88404763522283,Pale Orange Yellow
47.151795154017634,14.538628837981626,49.295114882824265,Strong Yellowish Brown
32.12144210010269,9.713695224368212,26.268064758472597,Deep Yellowish Brown
66.14553923322053,8.365934724497315,30.155935122359544,Light Yellowish Brown
45.1744060278044,6.525550200743191,23.459314862574267,Moderate Yellowish Brown
24.463178523648637,6.411335920198463,16.81111131055185,Dark Yellowish Brown
65.00546566303147,2.9900153228987203,15.685167730652761,Light Grayish Yellowish Brown
47.12061260159024,3.5348744423072676,13.095533305959428,Grayish Yellowish Brown
26.27369961773966,3.419693012723463,8.136046961690525,Dark Grayish Yellowish Brown
80.78829140079341,3.1720450178742143,82.28842255770358,Vivid Yellow
87.62018272234182,-2.7177975755942607,63.39428988498608,Brilliant Yellow
72.84951516620654,1.3797074438597345,62.91477445667869,Strong Yellow
60.08040438153627,2.0578533838360724,61.403583751818616,Deep Yellow
88.78451594567552,-3.153470971759942,50.02170528214926,Light Yellow
71.88092572435804,-0.39066466502840624,44.728103942131625,Moderate Yellow
61.06972187307912,0.3549946422414241,43.69299691266551,Dark Yellow
90.79612347527352,-3.834815863152985,30.068845902173823,Pale Yellow
72.80622288691295,-1.7507073882723212,27.67931879507144,Grayish Yellow
59.94974884118895,-0.18514208177050628,27.47567894166543,Dark Grayish Yellow
92.67484656380613,-1.3236711790323707,10.435806435295003,Yellowish White
74.87194044708251,-0.7921090398926856,10.541961341019658,Yellowish Gray
49.92702639062635,6.320259499273783,50.86005562797996,Light Olive Brown
37.15749330953009,3.6406858351511753,34.20373189889979,Moderate Olive Brown
20.966733681716953,1.7155694463469595,11.898687589664947,Dark Olive Brown
82.81049147142002,-14.851014411428665,82.76663138525122,Vivid Greenish Yellow
88.63436808863521,-15.526419446410756,69.74020470534153,Brilliant Greenish Yellow
72.9004902278534,-12.718197682130505,65.40110593650869,Strong Greenish Yellow
60.02357536149319,-11.18229175847535,63.69543461131683,Deep Greenish Yellow
89.61204375567965,-13.175297261740383,53.12837614387023,Light Greenish Yellow
72.01367422213015,-10.597949953074393,46.492814278255445,Moderate Greenish Yellow
60.07250858099363,-10.084124336129484,44.97022812522427,Dark Greenish Yellow
90.80602104691586,-9.228332132335925,33.53526923082397,Pale Greenish Yellow
72.78883377474175,-7.289361147556628,29.111453788048557,Grayish Greenish Yellow
52.126687403949575,-6.736971884482578,39.48304869577074,Light Olive
39.15221555728144,-4.641786769633283,36.090081965699994,Moderate Olive
25.373986963900343,-3.586570578100412,17.69507899998908,Dark Olive
55.97060111573299,-3.56186714341139,17.928520711977924,Light Grayish Olive
37.10943743419041,-2.8319445466489235,13.233421886745433,Grayish Olive
21.861127563128065,-2.4089441509643486,9.018638998176854,Dark Grayish Olive
56.12731962001659,-1.981631360514713,9.553645200071692,Light Olive Gray
36.07103709842549,-0.9953326624671799,5.543735306804964,Olive Gray
14.080848431320462,-1.1009657986286725,4.858283710867201,Olive Black
68.8371157030464,-34.12545568242725,69.78218348991163,Vivid Yellow Green
82.72707880658783,-27.988870834340762,59.652297545138964,Brilliant Yellow Green
61.158530469896746,-27.948823673528523,52.411330039585614,Strong Yellow Green
43.17047381093328,-28.584131884618337,34.475795331240114,Deep Yellow Green
84.69485329668402,-19.414123855991726,38.687230320810585,Light Yellow Green
61.019176232867025,-16.27900896351847,31.168489873911653,Moderate Yellow Green
87.5336837346721,-8.370261791670664,19.083367126135343,Pale Yellow Green
61.09230904857816,-8.366374055038872,14.87217875126181,Grayish Yellow Green
31.071738749710434,-16.673434990203518,38.84536657302137,Strong Olive Green
17.415334082999905,-13.024226895852308,24.715377341740652,Deep Olive Green
36.75431639343729,-17.389930081466026,30.32063397137117,Moderate Olive Green
23.641479501102978,-12.595306337951085,11.92505240369658,Dark Olive Green
35.95173510794922,-6.234256482078537,10.26912482942307,Grayish Olive Green
21.820065143149847,-4.622045919502438,6.211821283112129,Dark Grayish Olive Green
